,code,country,state
0,AL,UNITED STATES,ALABAMA
1,AK,UNITED STATES,ALASKA
2,AZ,UNITED STATES,ARIZONA
3,AR,UNITED STATES,ARKANSAS
4,CA,UNITED STATES,CALIFORNIA
5,CO,UNITED STATES,COLORADO
6,CT,UNITED STATES,CONNECTICUT
7,DE,UNITED STATES,DELAWARE
8,DC,UNITED STATES,DISTRICT OF COLUMBIA
9,FL,UNITED STATES,FLORIDA
10,GA,UNITED STATES,GEORGIA
11,HI,UNITED STATES,HAWAII
12,ID,UNITED STATES,IDAHO
13,IL,UNITED STATES,ILLINOIS
14,IN,UNITED STATES,INDIANA
15,IA,UNITED STATES,IOWA
16,KS,UNITED STATES,KANSAS
17,KY,UNITED STATES,KENTUCKY
18,LA,UNITED STATES,LOUISIANA
19,ME,UNITED STATES,MAINE
20,MD,UNITED STATES,MARYLAND
21,MA,UNITED STATES,MASSACHUSETTS
22,MI,UNITED STATES,MICHIGAN
23,MN,UNITED STATES,MINNESOTA
24,MS,UNITED STATES,MISSISSIPPI
25,MO,UNITED STATES,MISSOURI
26,MT,UNITED STATES,MONTANA
27,NE,UNITED STATES,NEBRASKA
28,NV,UNITED STATES,NEVADA
29,NH,UNITED STATES,NEW HAMPSHIRE
30,NJ,UNITED STATES,NEW JERSEY
31,NM,UNITED STATES,NEW MEXICO
32,NY,UNITED STATES,NEW YORK
33,NC,UNITED STATES,NORTH CAROLINA
34,ND,UNITED STATES,NORTH DAKOTA
35,OH,UNITED STATES,OHIO
36,OK,UNITED STATES,OKLAHOMA
37,OR,UNITED STATES,OREGON
38,PA,UNITED STATES,PENNSYLVANIA
39,RI,UNITED STATES,RHODE ISLAND
40,SC,UNITED STATES,SOUTH CAROLINA
41,SD,UNITED STATES,SOUTH DAKOTA
42,TN,UNITED STATES,TENNESSEE
43,TX,UNITED STATES,TEXAS
44,X1,UNITED STATES,UNITED STATES
45,UT,UNITED STATES,UTAH
46,VT,UNITED STATES,VERMONT
47,VA,UNITED STATES,VIRGINIA
48,WA,UNITED STATES,WASHINGTON
49,WV,UNITED STATES,WEST VIRGINIA
50,WI,UNITED STATES,WISCONSIN
51,WY,UNITED STATES,WYOMING
52,A0,CANADA,ALBERTA
53,A1,CANADA,BRITISH COLUMBIA
54,A2,CANADA,MANITOBA
55,A3,CANADA,NEW BRUNSWICK
56,A4,CANADA,NEWFOUNDLAND
57,A5,CANADA,NOVA SCOTIA
58,A6,CANADA,ONTARIO
59,A7,CANADA,PRINCE EDWARD ISLAND
60,A8,CANADA,QUEBEC
61,A9,CANADA,SASKATCHEWAN
62,B0,CANADA,YUKON
63,Z4,CANADA,CANADA (Federal Level)
64,B2,AFGHANISTAN,
65,Y6,ALAND ISLANDS,
66,B3,ALBANIA,
67,B4,ALGERIA,
68,B5,AMERICAN SAMOA,
69,B6,ANDORRA,
70,B7,ANGOLA,
71,1A,ANGUILLA,
72,B8,ANTARCTICA,
73,B9,ANTIGUA AND BARBUDA,
74,C1,ARGENTINA,
75,1B,ARMENIA,
76,1C,ARUBA,
77,C3,AUSTRALIA,
78,C4,AUSTRIA,
79,1D,AZERBAIJAN,
80,C5,BAHAMAS,
81,C6,BAHRAIN,
82,C7,BANGLADESH,
83,C8,BARBADOS,
84,1F,BELARUS,
85,C9,BELGIUM,
86,D1,BELIZE,
87,G6,BENIN,
88,D0,BERMUDA,
89,D2,BHUTAN,
90,D3,BOLIVIA,
91,1E,BOSNIA AND HERZEGOVINA,
92,B1,BOTSWANA,
93,D4,BOUVET ISLAND,
94,D5,BRAZIL,
95,D6,BRITISH INDIAN OCEAN TERRITORY,
96,D9,BRUNEI DARUSSALAM,
97,E0,BULGARIA,
98,X2,BURKINA FASO,
99,E2,BURUNDI,
100,E3,CAMBODIA,
101,E4,CAMEROON,
102,Z4,CANADA (Federal Level),
103,E8,CAPE VERDE,
104,E9,CAYMAN ISLANDS,
105,F0,CENTRAL AFRICAN REPUBLIC,
106,F2,CHAD,
107,F3,CHILE,
108,F4,CHINA,
109,F6,CHRISTMAS ISLAND,
110,F7,COCOS (KEELING) ISLANDS,
111,F8,COLOMBIA,
112,F9,COMOROS,
113,G0,CONGO,
114,Y3,"CONGO, THE DEMOCRATIC REPUBLIC OF THE",
115,G1,COOK ISLANDS,
116,G2,COSTA RICA,
117,L7,COTE D'IVOIRE,
118,1M,CROATIA,
119,G3,CUBA,
120,G4,CYPRUS,
121,2N,CZECH REPUBLIC,
122,G7,DENMARK,
123,1G,DJIBOUTI,
124,G9,DOMINICA,
125,G8,DOMINICAN REPUBLIC,
126,H1,ECUADOR,
127,H2,EGYPT,
128,H3,EL SALVADOR,
129,H4,EQUATORIAL GUINEA,
130,1J,ERITREA,
131,1H,ESTONIA,
132,H5,ETHIOPIA,
133,H7,FALKLAND ISLANDS (MALVINAS),
134,H6,FAROE ISLANDS,
135,H8,FIJI,
136,H9,FINLAND,
137,I0,FRANCE,
138,I3,FRENCH GUIANA,
139,I4,FRENCH POLYNESIA,
140,2C,FRENCH SOUTHERN TERRITORIES,
141,I5,GABON,
142,I6,GAMBIA,
143,2Q,GEORGIA,
144,2M,GERMANY,
145,J0,GHANA,
146,J1,GIBRALTAR,
147,J3,GREECE,
148,J4,GREENLAND,
149,J5,GRENADA,
150,J6,GUADELOUPE,
151,GU,GUAM,
152,J8,GUATEMALA,
153,Y7,GUERNSEY,
154,J9,GUINEA,
155,S0,GUINEA-BISSAU,
156,K0,GUYANA,
157,K1,HAITI,
158,K4,HEARD ISLAND AND MCDONALD ISLANDS,
159,X4,HOLY SEE (VATICAN CITY STATE),
160,K2,HONDURAS,
161,K3,HONG KONG,
162,K5,HUNGARY,
163,K6,ICELAND,
164,K7,INDIA,
165,K8,INDONESIA,
166,K9,"IRAN, ISLAMIC REPUBLIC OF",
167,L0,IRAQ,
168,L2,IRELAND,
169,Y8,ISLE OF MAN,
170,L3,ISRAEL,
171,L6,ITALY,
172,L8,JAMAICA,
173,M0,JAPAN,
174,Y9,JERSEY,
175,M2,JORDAN,
176,1P,KAZAKSTAN,
177,M3,KENYA,
178,J2,KIRIBATI,
179,M4,"KOREA, DEMOCRATIC PEOPLE'S REPUBLIC OF",
180,M5,"KOREA, REPUBLIC OF",
181,M6,KUWAIT,
182,1N,KYRGYZSTAN,
183,M7,LAO PEOPLE'S DEMOCRATIC REPUBLIC,
184,1R,LATVIA,
185,M8,LEBANON,
186,M9,LESOTHO,
187,N0,LIBERIA,
188,N1,LIBYAN ARAB JAMAHIRIYA,
189,N2,LIECHTENSTEIN,
190,1Q,LITHUANIA,
191,N4,LUXEMBOURG,
192,N5,MACAU,
193,1U,"MACEDONIA, THE FORMER YUGOSLAV REPUBLIC OF",
194,N6,MADAGASCAR,
195,N7,MALAWI,
196,N8,MALAYSIA,
197,N9,MALDIVES,
198,O0,MALI,
199,O1,MALTA,
200,1T,MARSHALL ISLANDS,
201,O2,MARTINIQUE,
202,O3,MAURITANIA,
203,O4,MAURITIUS,
204,2P,MAYOTTE,
205,O5,MEXICO,
206,1K,"MICRONESIA, FEDERATED STATES OF",
207,1S,"MOLDOVA, REPUBLIC OF",
208,O9,MONACO,
209,P0,MONGOLIA,
210,Z5,MONTENEGRO,
211,P1,MONTSERRAT,
212,P2,MOROCCO,
213,P3,MOZAMBIQUE,
214,E1,MYANMAR,
215,T6,NAMIBIA,
216,P5,NAURU,
217,P6,NEPAL,
218,P7,NETHERLANDS,
219,P8,NETHERLANDS ANTILLES,
220,1W,NEW CALEDONIA,
221,Q2,NEW ZEALAND,
222,Q3,NICARAGUA,
223,Q4,NIGER,
224,Q5,NIGERIA,
225,Q6,NIUE,
226,Q7,NORFOLK ISLAND,
227,1V,NORTHERN MARIANA ISLANDS,
228,Q8,NORWAY,
229,P4,OMAN,
230,R0,PAKISTAN,
231,1Y,PALAU,
232,1X,"PALESTINIAN TERRITORY, OCCUPIED",
233,R1,PANAMA,
234,R2,PAPUA NEW GUINEA,
235,R4,PARAGUAY,
236,R5,PERU,
237,R6,PHILIPPINES,
238,R8,PITCAIRN,
239,R9,POLAND,
240,S1,PORTUGAL,
241,PR,PUERTO RICO,
242,S3,QATAR,
243,S4,REUNION,
244,S5,ROMANIA,
245,1Z,RUSSIAN FEDERATION,
246,S6,RWANDA,
247,Z0,SAINT BARTHELEMY,
248,U8,SAINT HELENA,
249,U7,SAINT KITTS AND NEVIS,
250,U9,SAINT LUCIA,
251,Z1,SAINT MARTIN,
252,V0,SAINT PIERRE AND MIQUELON,
253,V1,SAINT VINCENT AND THE GRENADINES,
254,Y0,SAMOA,
255,S8,SAN MARINO,
256,S9,SAO TOME AND PRINCIPE,
257,T0,SAUDI ARABIA,
258,T1,SENEGAL,
259,Z2,SERBIA,
260,T2,SEYCHELLES,
261,T8,SIERRA LEONE,
262,U0,SINGAPORE,
263,2B,SLOVAKIA,
264,2A,SLOVENIA,
265,D7,SOLOMON ISLANDS,
266,U1,SOMALIA,
267,T3,SOUTH AFRICA,
268,1L,SOUTH GEORGIA AND THE SOUTH SANDWICH ISLANDS,
269,U3,SPAIN,
270,F1,SRI LANKA,
271,V2,SUDAN,
272,V3,SURINAME,
273,L9,SVALBARD AND JAN MAYEN,
274,V6,SWAZILAND,
275,V7,SWEDEN,
276,V8,SWITZERLAND,
277,V9,SYRIAN ARAB REPUBLIC,
278,F5,TAIWAN,
279,2D,TAJIKISTAN,
280,W0,"TANZANIA, UNITED REPUBLIC OF",
281,W1,THAILAND,
282,Z3,TIMOR-LESTE,
283,W2,TOGO,
284,W3,TOKELAU,
285,W4,TONGA,
286,W5,TRINIDAD AND TOBAGO,
287,W6,TUNISIA,
288,W8,TURKEY,
289,2E,TURKMENISTAN,
290,W7,TURKS AND CAICOS ISLANDS,
291,2G,TUVALU,
292,W9,UGANDA,
293,2H,UKRAINE,
294,C0,UNITED ARAB EMIRATES,
295,X0,UNITED KINGDOM,
296,2J,UNITED STATES MINOR OUTLYING ISLANDS,
297,X3,URUGUAY,
298,2K,UZBEKISTAN,
299,2L,VANUATU,
300,X5,VENEZUELA,
301,Q1,VIET NAM,
302,D8,"VIRGIN ISLANDS, BRITISH",
303,VI,"VIRGIN ISLANDS, U.S.",
304,X8,WALLIS AND FUTUNA,
305,U5,WESTERN SAHARA,
306,T7,YEMEN,
307,Y4,ZAMBIA,
308,Y5,ZIMBABWE,
309,XX,UNKNOWN,
