,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,-2776000000.0,-224000000.0,660000000.0,-74000000.0
Minority Interest,2470000000.0,2463000000.0,2427000000.0,2409000000.0
Net Income,-1084000000.0,-329000000.0,393000000.0,-194000000.0
Selling General Administrative,70000000.0,73000000.0,81000000.0,78000000.0
Gross Profit,-961000000.0,847000000.0,1417000000.0,757000000.0
Ebit,-2360000000.0,150000000.0,1043000000.0,303000000.0
Operating Income,-2360000000.0,150000000.0,1043000000.0,303000000.0
Other Operating Expenses,1070000000.0,366000000.0,57000000.0,143000000.0
Interest Expense,-366000000.0,-370000000.0,-355000000.0,-351000000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,-1860000000.0,-93000000.0,89000000.0,-76000000.0
Total Revenue,4259000000.0,3388000000.0,3126000000.0,2955000000.0
Total Operating Expenses,6619000000.0,3238000000.0,2083000000.0,2652000000.0
Cost Of Revenue,5220000000.0,2541000000.0,1709000000.0,2198000000.0
Total Other Income Expense Net,-416000000.0,-374000000.0,-383000000.0,-377000000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,-916000000.0,-131000000.0,571000000.0,2000000.0
Net Income Applicable To Common Shares,-1084000000.0,-329000000.0,393000000.0,-194000000.0
