,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Research Development,5494534000.0,5076492000.0,4768704000.0,4929639000.0
Effect Of Accounting Charges,,,,
Income Before Tax,18474530000.0,13344684000.0,11180300000.0,12603881000.0
Minority Interest,15653267000.0,15511482000.0,16347069000.0,15621578000.0
Net Income,14176280000.0,10338419000.0,8477129000.0,10044034000.0
Selling General Administrative,6863135000.0,6553699000.0,6208999000.0,7124027000.0
Gross Profit,30783963000.0,24804150000.0,21886370000.0,23299411000.0
Ebit,18426294000.0,13173959000.0,10908667000.0,11245745000.0
Operating Income,18426294000.0,13173959000.0,10908667000.0,11245745000.0
Other Operating Expenses,,,,
Interest Expense,-688062000.0,-728562000.0,-677921000.0,-741046000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,3630545000.0,2648128000.0,2451096000.0,1839172000.0
Total Revenue,150664816000.0,126926347000.0,119469784000.0,148877383000.0
Total Operating Expenses,132238522000.0,113752388000.0,108561117000.0,137631638000.0
Cost Of Revenue,119880853000.0,102122197000.0,97583414000.0,125577972000.0
Total Other Income Expense Net,48236000.0,170725000.0,271633000.0,1358136000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,14843985000.0,10696556000.0,8729204000.0,10764709000.0
Net Income Applicable To Common Shares,14176280000.0,10338419000.0,8477129000.0,10044034000.0
