,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Change To Liabilities,0.0,0.0,0.0,57488000.0
Total Cashflows From Investing Activities,-17521000.0,-11518000.0,40143000.0,-67864000.0
Net Borrowings,-20000000.0,-27000000.0,-88000000.0,33000000.0
Total Cash From Financing Activities,-66794000.0,-76237000.0,-141657000.0,-35775000.0
Change To Operating Activities,-49002000.0,-27781000.0,31001000.0,-26143000.0
Net Income,93853000.0,98854000.0,92643000.0,62619000.0
Change In Cash,-10873000.0,11206000.0,18845000.0,3037000.0
Repurchase Of Stock,-309000.0,-947000.0,-9342000.0,-190000.0
Effect Of Exchange Rate,-6264000.0,-758000.0,873000.0,11498000.0
Total Cash From Operating Activities,79706000.0,99719000.0,119486000.0,95178000.0
Depreciation,23617000.0,23306000.0,23596000.0,22403000.0
Dividends Paid,-39945000.0,-40343000.0,-39389000.0,-24972818.0
Other Cashflows From Financing Activities,-6540000.0,-7947000.0,-4926000.0,157000.0
Change To Netincome,11238000.0,5340000.0,-27754000.0,1562000.0
Capital Expenditures,-6802000.0,-5403000.0,-7826000.0,-5539000.0
Other Cashflows From Investing Activities,,-21000.0,-253000.0,-2357000.0
Change To Inventory,,,,-10706000.0
Change To Account Receivables,,,,-12045000.0
