,2021-10-30,2021-07-31,2021-05-01,2021-01-30
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,665000000.0,798000000.0,767000000.0,1043000000.0
Minority Interest,,,,
Net Income,499000000.0,734000000.0,595000000.0,816000000.0
Selling General Administrative,2108000000.0,1989000000.0,1968000000.0,2348000000.0
Gross Profit,2802000000.0,2810000000.0,2709000000.0,3530000000.0
Ebit,674000000.0,801000000.0,721000000.0,1162000000.0
Operating Income,674000000.0,801000000.0,721000000.0,1162000000.0
Other Operating Expenses,,,,
Interest Expense,-7000000.0,-6000000.0,-6000000.0,-9000000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,166000000.0,64000000.0,172000000.0,227000000.0
Total Revenue,11910000000.0,11849000000.0,11637000000.0,16937000000.0
Total Operating Expenses,11236000000.0,11048000000.0,10916000000.0,15775000000.0
Cost Of Revenue,9108000000.0,9039000000.0,8928000000.0,13407000000.0
Total Other Income Expense Net,-9000000.0,-3000000.0,46000000.0,-119000000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,499000000.0,734000000.0,595000000.0,816000000.0
Net Income Applicable To Common Shares,499000000.0,734000000.0,595000000.0,816000000.0
