,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Investments,-45000000.0,8000000.0,8000000.0,-1189000000.0
Change To Liabilities,0.0,0.0,0.0,0.0
Total Cashflows From Investing Activities,-116000000.0,-2120000000.0,-210000000.0,-2316000000.0
Total Cash From Financing Activities,-1743000000.0,-602000000.0,144000000.0,649000000.0
Change To Operating Activities,-4237000000.0,920000000.0,234000000.0,606000000.0
Net Income,1376000000.0,537000000.0,895000000.0,-588000000.0
Change In Cash,-3450000000.0,704000000.0,1565000000.0,679000000.0
Total Cash From Operating Activities,-1591000000.0,3416000000.0,1596000000.0,2357000000.0
Depreciation,400000000.0,215000000.0,356000000.0,377000000.0
Other Cashflows From Investing Activities,680000000.0,-831000000.0,505000000.0,525000000.0
Other Cashflows From Financing Activities,-1743000000.0,-527000000.0,144000000.0,511000000.0
Change To Netincome,870000000.0,1744000000.0,111000000.0,1962000000.0
Capital Expenditures,-751000000.0,-975000000.0,-1037000000.0,-1696000000.0
Net Borrowings,,500000000.0,500000000.0,-72000000.0
Effect Of Exchange Rate,,10000000.0,35000000.0,-11000000.0
Dividends Paid,,-575000000.0,-575000000.0,-30000000.0
Issuance Of Stock,,,,240000000.0
