,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,340000000.0,251000000.0,155000000.0,181000000.0
Minority Interest,,,,
Net Income,278000000.0,207000000.0,133000000.0,145000000.0
Selling General Administrative,-20000000.0,-19000000.0,-20000000.0,-12000000.0
Gross Profit,656000000.0,568000000.0,469000000.0,494000000.0
Ebit,437000000.0,349000000.0,249000000.0,275000000.0
Operating Income,437000000.0,349000000.0,249000000.0,275000000.0
Other Operating Expenses,78000000.0,80000000.0,83000000.0,78000000.0
Interest Expense,-101000000.0,-101000000.0,-98000000.0,-99000000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,62000000.0,44000000.0,22000000.0,36000000.0
Total Revenue,1092000000.0,999000000.0,888000000.0,923000000.0
Total Operating Expenses,655000000.0,650000000.0,639000000.0,648000000.0
Cost Of Revenue,436000000.0,431000000.0,419000000.0,429000000.0
Total Other Income Expense Net,-97000000.0,-98000000.0,-94000000.0,-94000000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,278000000.0,207000000.0,133000000.0,145000000.0
Net Income Applicable To Common Shares,278000000.0,207000000.0,133000000.0,145000000.0
